City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
419,Chernenko,RU,39.24,44.37,39.31,overcast clouds,
420,Casper,US,39.0,42.87,-106.31,clear sky,Ramkota Hotel
423,Mehamn,NO,33.8,71.04,27.85,broken clouds,Mehamn Arctic Hotel AS
424,Khuzhir,RU,12.33,53.19,107.34,clear sky,Отель на озере Байкал Baikal View
425,Kununurra,AU,78.8,-15.77,128.73,few clouds,Hotel Kununurra
426,Dengfeng,CN,48.47,34.46,113.03,broken clouds,Songshan Dihao Hotel
427,South Lake Tahoe,US,53.01,38.93,-119.98,clear sky,Tahoe Lakeshore Lodge & Spa
428,Tateyama,JP,44.6,34.98,139.87,few clouds,Tateyama Seaside Hotel
430,Minab,IR,69.8,27.15,57.08,mist,فروشگاه موبایل ترکمانی
431,Vao,NC,77.65,-22.67,167.48,broken clouds,Hotel Kou-Bugny
