City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snow inches (last 3 hours),Rain inches (last 3 hours)
53,Ponta Do Sol,PT,2020-02-23 17:52:15,32.67,-17.1,71.01,60,20,18.34,few clouds,0.0,0.0
54,Ahipara,NZ,2020-02-23 17:52:13,-35.17,173.17,57.0,100,0,16.87,clear sky,0.0,0.0
55,Viedma,AR,2020-02-23 17:56:11,-40.81,-63.0,89.35,21,0,20.98,clear sky,0.0,0.0
56,Baykit,RU,2020-02-23 17:56:11,61.67,96.37,9.82,96,100,3.11,overcast clouds,0.0,0.0
57,Portoferraio,IT,2020-02-23 17:56:11,42.81,10.31,57.99,87,75,7.38,broken clouds,0.0,0.0
58,Port Alfred,ZA,2020-02-23 17:56:11,-33.59,26.89,64.99,80,52,8.03,broken clouds,0.0,0.0
59,Saldanha,ZA,2020-02-23 17:52:30,-33.01,17.94,86.0,23,0,16.11,clear sky,0.0,0.0
60,Pisco,PE,2020-02-23 17:56:12,-13.7,-76.22,78.01,30,40,9.17,scattered clouds,0.0,0.0
61,Port Elizabeth,ZA,2020-02-23 17:56:12,-33.92,25.57,64.4,68,20,6.93,few clouds,0.0,0.0
62,Yaan,NG,2020-02-23 17:56:12,7.38,8.57,92.53,10,57,4.18,broken clouds,0.0,0.0
63,Fairbanks,US,2020-02-23 17:52:30,64.84,-147.72,-5.8,75,1,2.17,clear sky,0.0,0.0
64,Sinnamary,GF,2020-02-23 17:56:13,5.38,-52.95,79.25,82,58,15.9,light rain,0.0,0.19
65,Nikolskoye,RU,2020-02-23 17:56:13,59.7,30.79,37.4,90,75,8.95,light intensity shower rain,0.0,0.0
66,Mana,GF,2020-02-23 17:56:13,5.66,-53.78,85.12,64,55,8.28,light rain,0.0,0.25
67,Palana,RU,2020-02-23 17:56:13,59.12,159.97,3.15,67,100,5.48,overcast clouds,0.0,0.0
68,Cayenne,GF,2020-02-23 17:56:14,4.93,-52.33,84.2,70,75,14.99,broken clouds,0.0,0.0
69,Atambua,ID,2020-02-23 17:53:43,-9.11,124.89,75.07,86,44,2.13,scattered clouds,0.0,0.0
70,Taketa,JP,2020-02-23 17:56:14,32.97,131.38,39.0,70,0,3.0,clear sky,0.0,0.0
71,Diffa,NE,2020-02-23 17:56:14,13.32,12.61,78.84,13,0,10.8,clear sky,0.0,0.0
72,Nemuro,JP,2020-02-23 17:56:15,43.32,145.57,28.53,78,58,22.68,broken clouds,0.0,0.0
73,Airai,TL,2020-02-23 17:56:15,-8.93,125.41,66.96,87,74,4.16,broken clouds,0.0,0.0
74,Chistogorskiy,RU,2020-02-23 17:56:15,53.98,87.38,14.47,97,64,2.15,broken clouds,0.0,0.0
75,Lahad Datu,MY,2020-02-23 17:56:15,5.03,118.33,72.84,94,14,5.82,few clouds,0.0,0.0
76,Ballina,AU,2020-02-23 17:56:16,-28.87,153.57,68.0,100,90,9.84,overcast clouds,0.0,0.0
77,Cabo San Lucas,MX,2020-02-23 17:55:49,22.89,-109.91,84.0,47,75,11.45,broken clouds,0.0,0.0
78,Bengkulu,ID,2020-02-23 17:56:16,-3.8,102.27,74.64,90,15,4.23,few clouds,0.0,0.0
79,Lompoc,US,2020-02-23 17:51:12,34.64,-120.46,62.01,71,90,3.36,overcast clouds,0.0,0.0
80,Butaritari,KI,2020-02-23 17:56:17,3.07,172.79,84.7,76,100,17.56,moderate rain,0.0,6.37
81,Saint-Francois,FR,2020-02-23 17:56:17,46.42,3.91,57.2,58,20,5.82,few clouds,0.0,0.0
82,East London,ZA,2020-02-23 17:51:49,-33.02,27.91,66.2,72,20,5.82,few clouds,0.0,0.0
83,Saskylakh,RU,2020-02-23 17:51:15,71.92,114.08,6.31,85,100,8.46,overcast clouds,0.0,0.0
84,Lebu,CL,2020-02-23 17:51:08,-37.62,-73.65,69.19,57,2,9.35,clear sky,0.0,0.0
85,Busselton,AU,2020-02-23 17:51:18,-33.65,115.33,69.01,43,93,15.14,light rain,0.0,0.69
86,Taltal,CL,2020-02-23 17:56:18,-25.4,-70.48,67.53,69,11,6.96,few clouds,0.0,0.0
87,Lavrentiya,RU,2020-02-23 17:56:19,65.58,-171.0,-9.58,77,16,5.1,few clouds,0.0,0.0
88,Kodiak,US,2020-02-23 17:53:48,57.79,-152.41,17.6,48,1,33.33,clear sky,0.0,0.0
